id,название,описание,дни,ответвление,x,y,требование1,требование2,награда1,награда2,награда3,блокировать1,блокировать2
cn-secure-ladakh,Закрепить новое пограничное соглашение,Требует контроля над Ладакхом и завершённой войны или мира.,70,Ладакх: война,26,7,cn-ladakh-war-goal,,transferRegions=16,stability=5,politicalPower=55,,
cn-sea-line,Морской рубеж Восточной Азии,Подготовить базы снабжение и флот для операций в Японском море.,70,Япония и Республика Корея,30,3,cn-maritime,cn-northeast-pact,commandPower=45,steel=35,warSupport=8,,
cn-japan-plan,План Японского моря,Открыть военную цель против Японии и подготовить десантную логистику.,70,Япония и Республика Корея,30,4,cn-sea-line,,commandPower=45,manpower=180,warSupport=10,,
cn-subdue-japan,Подчинить Японию,Требует контроля всей Японии и мирного оформления после войны.,70,Япония и Республика Корея,30,6,cn-japan-plan,,politicalPower=90,stability=-6,factories=5,,
cn-korean-question,Корейский вопрос,Подготовить сухопутную логистику и администрацию полуострова.,56,Япония и Республика Корея,33,4,cn-sea-line,,commandPower=35,steel=30,manpower=120,,
cn-rok-war-goal,Цель войны против Республики Корея,Открыть военную цель против Республики Корея. КНДР входит только добровольно.,42,Япония и Республика Корея,33,5,cn-korean-question,,warSupport=10,politicalPower=35,,,
cn-subdue-rok,Подчинить Республику Корея,Требует контроля всей Республики Корея и мирного оформления после войны.,70,Япония и Республика Корея,33,6,cn-rok-war-goal,,politicalPower=90,stability=-6,factories=5,,
cn-admin-east-asia,Администрации островов и полуострова,Снизить сопротивление на японских и корейских территориях ценой расходов.,70,Япония и Республика Корея,31,8,cn-subdue-japan,cn-subdue-rok,stability=8,budget=-50,politicalPower=35,,
cn-form-commonwealth,Провозгласить Восточноазиатское содружество,Требуются добровольно вступившие Монголия и КНДР а также контроль Японии и Республики Корея после войн и мира.,70,Формирования,31,10,cn-integrate-mongolia,cn-integrate-dprk,formedNation=east_asian_commonwealth,rename=Восточноазиатское содружество,politicalPower=140,,
cn-form-great-federation,Провозгласить Великую Восточноазиатскую федерацию,Требуется Восточноазиатское содружество и Тайвань полученный только через военное объединение.,84,Формирования,31,12,cn-form-commonwealth,cn-unify-by-war,formedNation=great_east_asian_federation,rename=Великая Восточноазиатская федерация,politicalPower=180,,
