id,название,описание,подробно,дни,доступно с,ответвление,x,y,после1,после2,после3,после4,после5,после6,после7,после8,после9,после10,требование1,требование2,требование3,требование4,требование5,требование6,требование7,требование8,требование9,требование10,награда1,награда2,награда3,награда4,награда5,награда6,награда7,награда8,награда9,награда10,блокировать1,блокировать2,блокировать3,случайно1,случайно2,случайно3,случайно4,случайно5,случайно6,случайно7,случайно8,случайно9,случайно10
ru-housing-renovation,Жилищное обновление,Запустить программу ремонта коммунальной инфраструктуры и доступного жилья через региональные планы.,"Запустить программу ремонта коммунальной инфраструктуры и доступного жилья через региональные планы.

Подробно: фокус «Жилищное обновление» разворачивает направление «Социальная программа» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: stability=4, gdp=12, steel=12.",60,,Социальная программа,1,6,ru-labor-guarantees,,,,,,,,,,ru-school-and-college-track,,,,,,,,,,stability=4,gdp=12,steel=12,,,,,,,,,,,,,,,,,,,,
ru-labor-guarantees,Трудовые гарантии,Укрепить трудовые инспекции коллективные договоры и программы переобучения без давления на законный бизнес.,"Укрепить трудовые инспекции коллективные договоры и программы переобучения без давления на законный бизнес.

Подробно: фокус «Трудовые гарантии» разворачивает направление «Социальная программа» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: stability=4, politicalPower=25, manpower=60.",50,,Социальная программа,1,7,ru-social-state,,,,,,,,,,ru-housing-renovation,,,,,,,,,,stability=4,politicalPower=25,manpower=60,,,,,,,,,,,,,,,,,,,,
ru-social-state,Социальное государство,Свести меры поддержки труда семьи образования и медицины в долгосрочную государственную программу.,"Свести меры поддержки труда семьи образования и медицины в долгосрочную государственную программу.

Подробно: фокус «Социальное государство» разворачивает направление «Социальная программа» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: stability=8, politicalPower=45, gdp=20.",70,,Социальная программа,1,8,ru-red-development-consensus,,,,,,,,,,ru-labor-guarantees,,,,,,,,,,stability=8,politicalPower=45,gdp=20,,,,,,,,,,,,,,,,,,,,
ru-industrial-plan,Промышленный план,Принять законную программу промышленного развития с приоритетом станков транспорта электроники и материалов.,"Принять законную программу промышленного развития с приоритетом станков транспорта электроники и материалов.

Подробно: фокус «Промышленный план» разворачивает направление «Индустриализация» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: factories=2, steel=20, gdp=12.",45,,Индустриализация,2,3,ru-machine-tool-network,,,,,,,,,,Ru-viboty2026-pobeda-kommunizma,,,,,,,,,,factories=2,steel=20,gdp=12,,,,,,,,,,,,,,,,,,,,
ru-machine-tool-network,Станкостроительная сеть,Поддержать заводы станков и комплектующих через заказы стандарты качества и кооперацию вузов.,"Поддержать заводы станков и комплектующих через заказы стандарты качества и кооперацию вузов.

Подробно: фокус «Станкостроительная сеть» разворачивает направление «Индустриализация» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: factories=3, steel=25, gdp=16.",60,,Индустриализация,2,4,ru-electronics-contract,,,,,,,,,,ru-industrial-plan,,,,,,,,,,factories=3,steel=25,gdp=16,,,,,,,,,,,,,,,,,,,,
ru-electronics-contract,Контур электроники,Развить выпуск критичных электронных компонентов и защищенных систем связи для гражданских отраслей.,"Развить выпуск критичных электронных компонентов и защищенных систем связи для гражданских отраслей.

Подробно: фокус «Контур электроники» разворачивает направление «Индустриализация» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: factories=2, rare=25, gdp=18.",65,,Индустриализация,2,5,ru-rail-and-logistics,,,,,,,,,,ru-machine-tool-network,,,,,,,,,,factories=2,rare=25,gdp=18,,,,,,,,,,,,,,,,,,,,
ru-rail-and-logistics,Рельсы и логистика,Ускорить модернизацию железных дорог портов и складов для внутреннего рынка и экспорта.,"Ускорить модернизацию железных дорог портов и складов для внутреннего рынка и экспорта.

Подробно: фокус «Рельсы и логистика» разворачивает направление «Индустриализация» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: gdp=22, steel=30, budget=25.",65,,Индустриализация,2,6,ru-energy-upgrade,,,,,,,,,,ru-electronics-contract,,,,,,,,,,gdp=22,steel=30,budget=25,,,,,,,,,,,,,,,,,,,,
ru-energy-upgrade,Энергетическое обновление,Снизить износ сетей и поддержать энергетику регионов с учетом безопасности и экологических норм.,"Снизить износ сетей и поддержать энергетику регионов с учетом безопасности и экологических норм.

Подробно: фокус «Энергетическое обновление» разворачивает направление «Индустриализация» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: oil=35, gdp=20, stability=2.",60,,Индустриализация,2,7,ru-production-sovereignty,,,,,,,,,,ru-rail-and-logistics,,,,,,,,,,oil=35,gdp=20,stability=2,,,,,,,,,,,,,,,,,,,,
ru-production-sovereignty,Производственный суверенитет,Закрепить устойчивые цепочки производства и снизить зависимость от внешних поставок без изоляции торговли.,"Закрепить устойчивые цепочки производства и снизить зависимость от внешних поставок без изоляции торговли.

Подробно: фокус «Производственный суверенитет» разворачивает направление «Индустриализация» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: factories=5, gdp=35, rare=20.",75,,Индустриализация,2,8,ru-red-development-consensus,,,,,,,,,,ru-energy-upgrade,,,,,,,,,,factories=5,gdp=35,rare=20,,,,,,,,,,,,,,,,,,,,
ru-regional-balance,Баланс регионов,Пересмотреть распределение инфраструктурных проектов так чтобы поддержать малые города и крупные агломерации.,"Пересмотреть распределение инфраструктурных проектов так чтобы поддержать малые города и крупные агломерации.

Подробно: фокус «Баланс регионов» разворачивает направление «Регионы» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: stability=2, gdp=10, food=10.",45,,Регионы,3,3,ru-municipal-program,,,,,,,,,,Ru-viboty2026-pobeda-kommunizma,,,,,,,,,,stability=2,gdp=10,food=10,,,,,,,,,,,,,,,,,,,,
ru-municipal-program,Муниципальная программа,Укрепить местное самоуправление через прозрачные гранты контроль исполнения и кадровые школы.,"Укрепить местное самоуправление через прозрачные гранты контроль исполнения и кадровые школы.

Подробно: фокус «Муниципальная программа» разворачивает направление «Регионы» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: stability=3, politicalPower=20, budget=15.",55,,Регионы,3,4,ru-far-east-window,,,,,,,,,,ru-regional-balance,,,,,,,,,,stability=3,politicalPower=20,budget=15,,,,,,,,,,,,,,,,,,,,
ru-far-east-window,Дальневосточное окно,Развить порты жилье и логистику Дальнего Востока для связей с азиатскими рынками.,"Развить порты жилье и логистику Дальнего Востока для связей с азиатскими рынками.

Подробно: фокус «Дальневосточное окно» разворачивает направление «Регионы» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: gdp=20, food=20, oil=15.",60,,Регионы,3,5,ru-rural-investment,,,,,,,,,,ru-municipal-program,,,,,,,,,,gdp=20,food=20,oil=15,,,,,,,,,,,,,,,,,,,,
